Date,NVDA,AMD,GOOGL,MSFT
10/31/2024,132.76,144.07,171.11,406.35
10/30/2024,139.34,148.60,174.46,432.53
10/29/2024,141.25,166.25,169.68,431.95
10/28/2024,140.52,159.92,166.72,426.59
10/25/2024,141.54,156.23,165.27,428.15
10/24/2024,140.41,153.44,162.72,424.73
10/23/2024,139.56,152.91,162.78,424.60
10/22/2024,143.59,154.09,165.14,427.51
10/21/2024,143.71,157.90,164.07,418.78
10/18/2024,138.00,155.97,163.42,418.16
10/17/2024,136.93,156.25,162.93,416.72
10/16/2024,135.72,156.13,165.16,416.12
10/15/2024,131.60,156.64,165.46,418.74
10/14/2024,138.07,165.27,164.96,419.14
10/11/2024,134.80,167.89,163.24,416.32
10/10/2024,134.81,164.18,162.08,415.84
10/09/2024,132.65,171.02,161.86,417.46
10/08/2024,132.89,172.80,164.38,414.71
10/07/2024,127.72,170.97,162.98,409.54
10/04/2024,124.92,170.90,167.06,416.06
10/03/2024,122.85,162.85,165.86,416.54
10/02/2024,118.85,159.78,165.86,417.13
10/01/2024,117.00,159.75,166.99,420.69
09/30/2024,121.44,164.08,165.85,430.30
09/27/2024,121.40,164.35,163.95,428.02
09/26/2024,124.04,167.49,162.73,431.31
09/25/2024,123.51,162.02,161.49,432.11
09/24/2024,120.87,158.32,162.29,429.17
09/23/2024,116.26,156.75,161.85,433.51
09/20/2024,116.00,155.95,163.59,435.27
09/19/2024,117.87,156.74,162.14,438.69
09/18/2024,113.37,148.29,159.81,430.81
09/17/2024,115.59,150.82,159.32,435.15
09/16/2024,116.78,152.08,158.06,431.34
09/13/2024,119.10,152.31,157.46,430.59
09/12/2024,119.14,150.77,154.69,427.00
09/11/2024,116.91,149.86,151.16,423.04
09/10/2024,108.10,142.84,148.66,414.20
09/09/2024,106.47,138.15,148.71,405.72
09/06/2024,102.83,134.35,150.92,401.70
09/05/2024,107.21,139.44,157.24,408.39
09/04/2024,106.21,140.87,156.45,408.90
09/03/2024,108.00,136.94,157.36,409.44
08/30/2024,119.37,148.56,163.38,417.14
08/29/2024,117.59,145.49,161.78,413.12
08/28/2024,125.61,146.36,162.85,410.60
08/27/2024,128.30,150.50,164.68,413.84
08/26/2024,126.46,149.99,166.16,413.49
08/23/2024,129.37,154.98,165.62,416.79
08/22/2024,123.74,151.70,163.80,415.55
08/21/2024,128.50,157.81,165.85,424.14
08/20/2024,127.25,156.40,167.18,424.80
08/19/2024,130.00,155.28,166.67,421.53
08/16/2024,124.58,148.56,162.96,418.47
08/15/2024,122.86,147.36,161.30,421.03
08/14/2024,118.08,140.75,160.37,416.86
08/13/2024,116.14,141.13,164.16,414.01
08/12/2024,109.02,136.77,162.29,406.81
08/09/2024,104.75,134.27,163.67,406.02
08/08/2024,104.97,136.32,162.03,402.69
08/07/2024,98.91,128.67,158.94,398.43
08/06/2024,104.25,130.18,158.29,399.61
08/05/2024,100.45,134.82,159.25,395.15
08/02/2024,107.27,132.50,166.66,408.49
08/01/2024,109.21,132.54,170.76,417.11
