Date,NVIDIA Close,NVIDIA Open,NVIDIA Price Change,AMD Close,AMD Open,AMD Price Change
11/29/2024,138.25,136.78,1.47,137.18,136.24,0.94
11/27/2024,135.34,135.01,0.33,136.24,137.20,-0.96
11/26/2024,136.92,137.70,-0.78,137.72,142.55,-4.83
11/25/2024,136.02,141.99,-5.97,141.13,140.49,0.64
11/22/2024,141.95,145.93,-3.98,138.35,137.35,1.00
11/21/2024,146.67,149.35,-2.68,137.49,138.87,-1.38
11/20/2024,145.89,147.41,-1.52,137.60,138.96,-1.36
11/19/2024,147.01,141.32,5.69,139.39,137.41,1.98
11/18/2024,140.15,139.50,0.65,138.93,138.19,0.75
11/15/2024,141.98,144.87,-2.89,134.90,136.58,-1.67
11/14/2024,146.76,147.64,-0.88,138.84,140.34,-1.50
11/13/2024,146.27,149.07,-2.80,139.30,142.86,-3.56
11/12/2024,148.29,146.78,1.51,143.63,147.00,-3.37
11/11/2024,145.26,148.68,-3.42,147.35,147.38,-0.03
11/08/2024,147.63,148.77,-1.14,147.95,149.39,-1.44
11/07/2024,148.88,146.39,2.49,149.82,146.68,3.14
11/06/2024,145.61,142.96,2.65,145.10,144.95,0.15
11/05/2024,139.91,137.45,2.46,141.66,141.94,-0.28
11/04/2024,136.05,137.21,-1.16,140.71,141.70,-0.99
11/01/2024,135.40,134.70,0.70,141.86,144.44,-2.58
10/31/2024,132.76,137.60,-4.84,144.07,147.80,-3.73
10/30/2024,139.34,139.54,-0.20,148.60,153.01,-4.41
10/29/2024,141.25,140.29,0.97,166.25,161.10,5.15
10/28/2024,140.52,143.00,-2.48,159.92,158.50,1.42
10/25/2024,141.54,140.93,0.61,156.23,155.40,0.83
10/24/2024,140.41,140.82,-0.41,153.44,154.74,-1.30
10/23/2024,139.56,142.03,-2.47,152.91,153.00,-0.09
10/22/2024,143.59,142.91,0.68,154.09,156.60,-2.51
10/21/2024,143.71,138.13,5.58,157.90,155.76,2.14
10/18/2024,138.00,138.67,-0.66,155.97,157.41,-1.44
10/17/2024,136.93,139.34,-2.41,156.25,160.00,-3.75
