Date,NVIDIA Close,NVIDIA Open,NVIDIA Price Change,AMD Close,AMD Open,AMD Price Change,MSFT Close,MSFT Open,MSFT Price Change,MSFT + AMD AVG
11/29/2024,138.25,136.78,1.47,137.18,136.24,0.94,423.46,420.09,3.37,2.1525
11/27/2024,135.34,135.01,0.33,136.24,137.20,-0.96,422.99,425.11,-2.12,-1.5375
11/26/2024,136.92,137.70,-0.78,137.72,142.55,-4.83,427.99,419.59,8.41,1.7875
11/25/2024,136.02,141.99,-5.97,141.13,140.49,0.64,418.79,418.38,0.41,0.525
11/22/2024,141.95,145.93,-3.98,138.35,137.35,1.00,417.00,411.37,5.63,3.3175
11/21/2024,146.67,149.35,-2.68,137.49,138.87,-1.38,412.87,419.50,-6.63,-4.005
11/20/2024,145.89,147.41,-1.52,137.60,138.96,-1.36,415.49,416.87,-1.38,-1.37
11/19/2024,147.01,141.32,5.69,139.39,137.41,1.98,417.79,413.11,4.68,3.33
11/18/2024,140.15,139.50,0.65,138.93,138.19,0.75,415.76,414.87,0.89,0.8175
11/15/2024,141.98,144.87,-2.89,134.90,136.58,-1.67,415.00,419.82,-4.82,-3.2475
11/14/2024,146.76,147.64,-0.88,138.84,140.34,-1.50,426.89,425.00,1.89,0.195
11/13/2024,146.27,149.07,-2.80,139.30,142.86,-3.56,425.20,421.64,3.56,0
11/12/2024,148.29,146.78,1.51,143.63,147.00,-3.37,423.03,418.25,4.78,0.705
11/11/2024,145.26,148.68,-3.42,147.35,147.38,-0.03,418.01,422.52,-4.51,-2.2675
11/08/2024,147.63,148.77,-1.14,147.95,149.39,-1.44,422.54,425.32,-2.78,-2.11
11/07/2024,148.88,146.39,2.49,149.82,146.68,3.14,425.43,421.28,4.15,3.645
11/06/2024,145.61,142.96,2.65,145.10,144.95,0.15,420.18,412.42,7.76,3.955
11/05/2024,139.91,137.45,2.46,141.66,141.94,-0.28,411.46,408.37,3.09,1.405
11/04/2024,136.05,137.21,-1.16,140.71,141.70,-0.99,408.46,409.80,-1.34,-1.165
11/01/2024,135.40,134.70,0.70,141.86,144.44,-2.58,410.37,409.01,1.36,-0.61
10/31/2024,132.76,137.60,-4.84,144.07,147.80,-3.73,406.35,415.36,-9.01,-6.37
10/30/2024,139.34,139.54,-0.20,148.60,153.01,-4.41,432.53,437.44,-4.91,-4.6575
10/29/2024,141.25,140.29,0.97,166.25,161.10,5.15,431.95,428.00,3.95,4.55
10/28/2024,140.52,143.00,-2.48,159.92,158.50,1.42,426.59,431.66,-5.07,-1.8225
10/25/2024,141.54,140.93,0.61,156.23,155.40,0.83,428.15,426.76,1.39,1.11
10/24/2024,140.41,140.82,-0.41,153.44,154.74,-1.30,424.73,425.33,-0.59,-0.9475
10/23/2024,139.56,142.03,-2.47,152.91,153.00,-0.09,424.60,430.86,-6.26,-3.1725
10/22/2024,143.59,142.91,0.68,154.09,156.60,-2.51,427.51,418.49,9.02,3.255
10/21/2024,143.71,138.13,5.58,157.90,155.76,2.14,418.78,416.12,2.66,2.4
10/18/2024,138.00,138.67,-0.66,155.97,157.41,-1.44,418.16,417.14,1.02,-0.21
10/17/2024,136.93,139.34,-2.41,156.25,160.00,-3.75,416.72,422.36,-5.64,-4.695
10/16/2024,135.72,133.98,1.74,156.13,158.08,-1.94,416.12,415.17,0.95,-0.4975
10/15/2024,131.60,137.87,-6.27,156.64,163.21,-6.57,418.74,422.18,-3.44,-5.005
10/14/2024,138.07,136.47,1.60,165.27,167.77,-2.50,419.14,417.77,1.37,-0.565
10/11/2024,134.80,134.01,0.79,167.89,164.19,3.70,416.32,416.14,0.19,1.945
10/10/2024,134.81,131.91,2.90,164.18,169.76,-5.58,415.84,415.23,0.61,-2.4825
10/09/2024,132.65,134.11,-1.46,171.02,174.05,-3.03,417.46,415.86,1.60,-0.715
10/08/2024,132.89,130.26,2.63,172.80,171.75,1.05,414.71,410.90,3.81,2.43
10/07/2024,127.72,124.99,2.73,170.97,171.08,-0.11,409.54,416.00,-6.46,-3.285
10/04/2024,124.92,124.94,-0.02,170.90,166.53,4.37,416.06,418.24,-2.18,1.0935
10/03/2024,122.85,120.92,1.93,162.85,159.71,3.14,416.54,417.63,-1.09,1.025
10/02/2024,118.85,116.44,2.41,159.78,159.31,0.47,417.13,422.58,-5.45,-2.49
10/01/2024,117.00,121.77,-4.77,159.75,164.48,-4.73,420.69,428.45,-7.76,-6.245
09/30/2024,121.44,118.31,3.13,164.08,163.10,0.98,430.30,428.21,2.09,1.535
09/27/2024,121.40,123.97,-2.57,164.35,167.48,-3.13,428.02,431.52,-3.50,-3.315
09/26/2024,124.04,126.80,-2.76,167.49,167.06,0.44,431.31,435.09,-3.77,-1.67
09/25/2024,123.51,122.02,1.49,162.02,158.50,3.52,432.11,429.83,2.28,2.9
09/24/2024,120.87,116.52,4.36,158.32,157.46,0.86,429.17,433.00,-3.83,-1.485
09/23/2024,116.26,116.55,-0.29,156.75,156.45,0.31,433.51,434.28,-0.77,-0.2325
09/20/2024,116.00,117.06,-1.06,155.95,156.00,-0.05,435.27,437.22,-1.95,-1
09/19/2024,117.87,117.35,0.52,156.74,153.81,2.93,438.69,441.23,-2.54,0.1975
09/18/2024,113.37,115.89,-2.52,148.29,150.90,-2.61,430.81,435.00,-4.19,-3.4
09/17/2024,115.59,118.17,-2.58,150.82,153.55,-2.73,435.15,440.23,-5.08,-3.905
09/16/2024,116.78,116.79,-0.01,152.08,151.70,0.38,431.34,430.60,0.74,0.56
09/13/2024,119.10,119.08,0.02,152.31,152.32,-0.01,430.59,425.83,4.76,2.3775
09/12/2024,119.14,116.84,2.30,150.77,148.43,2.34,427.00,423.31,3.69,3.015
09/11/2024,116.91,109.39,7.52,149.86,145.33,4.54,423.04,415.50,7.54,6.0375
09/10/2024,108.10,107.81,0.29,142.84,139.06,3.78,414.20,408.20,6.00,4.89
09/09/2024,106.47,104.88,1.59,138.15,136.10,2.05,405.72,407.24,-1.52,0.265
