Year,MKT,SMB,HML,Change
1973,-26.18,-23.51,17.47,-61.48
1974,-35.75,-0.81,9.96,-28.85
1975,32.44,15.41,9.14,178.38
1976,21.91,14.67,24.38,17.48
1977,-8.26,22.62,7.46,30.58
1978,1.03,14.42,0.67,12.66
1979,13.09,21.27,-2.33,46.07
1980,22.13,5.66,-24.61,81.92
1981,-18.13,7.11,25.04,40.59
1982,10.66,8.68,13.29,134.74
1983,13.75,14,20.52,56.37
1984,-6.05,-8.22,19.13,-2.91
1985,24.91,0.55,1.29,68.35
1986,10.12,-9.55,9.34,45.86
1987,-3.87,-10.95,-1.7,11.98
1988,11.55,5.78,14.99,21.34
1989,20.49,-12.86,-4.03,43.82
1990,-13.95,-13.99,-10.03,35.48
1991,29.18,16.08,-14.72,95.39
1992,6.23,7.74,24.49,9.10
1993,8.21,6.37,16.96,-21.51
1994,-4.1,-0.46,-0.89,-14.41
1995,31.22,-9.75,5.97,5.56
1996,15.96,-4.45,8.67,3.12
1997,25.96,-7.75,19.01,74.73
1998,19.46,-25.26,-10.47,107.55
1999,20.57,15.34,-31.65,70.45
2000,-17.6,-4.6,44.99,-22.79
2001,-15.21,18.13,18.54,8.93
2002,-22.76,4.4,8.16,-11.76
2003,30.75,26.78,4.97,5.73
2004,10.72,4.45,7.63,0.51
2005,3.09,-2.36,9.41,-10.30
2006,10.6,0.09,11.92,0.13
2007,1.04,-7.36,-17.28,4.90
2008,-38.34,2.44,1,20.00
2009,28.26,9.18,-9.65,-2.58
2010,17.37,14.19,-5.22,3.23
2011,0.44,-5.71,-8.42,13.87
2012,16.27,-1.4,10,16.97
2013,35.2,7.75,2.6,18.17
2014,11.71,-7.86,-1.45,11.86
2015,0.09,-3.99,-9.65,-26.64
2016,13.3,6.66,22.75,16.04
2017,21.51,-4.97,-13.51,46.54
2018,-6.95,-3.21,-9.73,-3.43
2019,28.28,-6.1,-10.34,30.16
2020,23.66,13.17,-46.57,23.34
2021,23.56,-3.92,25.57,1.97
