Year,MKT,SMB,HML,RMW,CMA,Change
1973,-26.18,-23.51,17.47,-8.76,7.18,-61.48
1974,-35.75,-0.81,9.96,-4.43,22.74,-28.85
1975,32.44,15.41,9.14,0.92,0.4,178.38
1976,21.91,14.67,24.38,-6.53,7.42,17.48
1977,-8.26,22.62,7.46,2.43,-0.01,30.58
1978,1.03,14.42,0.67,4.97,4.23,12.66
1979,13.09,21.27,-2.33,-3.28,-1.66,46.07
1980,22.13,5.66,-24.61,13.83,-12.35,81.92
1981,-18.13,7.11,25.04,-1.42,10.84,40.59
1982,10.66,8.68,13.29,-4.23,17.71,134.74
1983,13.75,14,20.52,0.59,15.98,56.37
1984,-6.05,-8.22,19.13,15.18,3.64,-2.91
1985,24.91,0.55,1.29,11.95,-2.99,68.35
1986,10.12,-9.55,9.34,6.98,10.63,45.86
1987,-3.87,-10.95,-1.7,6.12,6.7,11.98
1988,11.55,5.78,14.99,2.94,9.58,21.34
1989,20.49,-12.86,-4.03,2.95,7.66,43.82
1990,-13.95,-13.99,-10.03,7.61,0.79,35.48
1991,29.18,16.08,-14.72,11.61,-14.87,95.39
1992,6.23,7.74,24.49,7.38,7.32,9.1
1993,8.21,6.37,16.96,-6.91,12.3,-21.51
1994,-4.1,-0.46,-0.89,5.82,3.8,-14.41
1995,31.22,-9.75,5.97,1.67,2.89,5.56
1996,15.96,-4.45,8.67,15.5,0.86,3.12
1997,25.96,-7.75,19.01,8.8,6.19,74.73
1998,19.46,-25.26,-10.47,3.56,-4.62,107.55
1999,20.57,15.34,-31.65,-28.04,-8.37,70.45
2000,-17.6,-4.6,44.99,23.2,30.7,-22.79
2001,-15.21,18.13,18.54,18.97,13.65,8.93
2002,-22.76,4.4,8.16,20.85,14.22,-11.76
2003,30.75,26.78,4.97,-20.39,16.2,5.73
2004,10.72,4.45,7.63,8.38,-7.58,0.51
2005,3.09,-2.36,9.41,1.43,-4.9,-10.3
2006,10.6,0.09,11.92,3.75,8.85,0.13
2007,1.04,-7.36,-17.28,4.92,-7.55,4.9
2008,-38.34,2.44,1,14.72,4.2,20
2009,28.26,9.18,-9.65,3.33,-2.6,-2.58
2010,17.37,14.19,-5.22,-1.54,9.78,3.23
2011,0.44,-5.71,-8.42,13.49,-1.15,13.87
2012,16.27,-1.4,10,-5.34,9.36,16.97
2013,35.2,7.75,2.6,-4.15,0.97,18.17
2014,11.71,-7.86,-1.45,1.3,-1.46,11.86
2015,0.09,-3.99,-9.65,1.07,-8.76,-26.64
2016,13.3,6.66,22.75,4.31,9.92,16.04
2017,21.51,-4.97,-13.51,4.81,-11.49,46.54
2018,-6.95,-3.21,-9.73,-1.4,0.09,-3.43
2019,28.28,-6.1,-10.34,4.25,-3.07,30.16
2020,23.66,13.17,-46.57,-4.93,-12.1,23.34
2021,23.56,-3.92,25.57,26.74,12.16,1.97
