timestamp,open,high,low,close,volume,Mkt-RF,SMB,HML,RMW,CMA,,,,,,,,,274,202209,-9.36,-0.96,0.05,-1.4,-0.82,0.19
4/25/2025,87.535,96.6,79.81,95.09,462613999,-1000,-1000,-1000,-1000,-1000,,,,,,,,,273,202208,-3.78,1.51,0.31,-4.8,1.31,0.19
3/31/2025,97.98,99.49,83.87,87.79,529717656,-1000,-1000,-1000,-1000,-1000,,,,,,,,,272,202207,9.57,1.88,-4.1,0.68,-6.94,0.08
2/28/2025,96.77,105.3,92.12,98.61,393516414,-1000,-1000,-1000,-1000,-1000,,,,,,,,,271,202206,-8.43,1.3,-5.97,1.85,-4.7,0.06
1/31/2025,89.98,99,89.52,98.16,301854318,-1000,-1000,-1000,-1000,-1000,,,,,,,,,270,202205,-0.34,-0.06,8.41,1.44,3.98,0.03
12/31/2024,92.82,96.18,88.91,90.35,382131833,-1000,-1000,-1000,-1000,-1000,,,,,,,,,269,202204,-9.46,-0.4,6.19,3.63,5.92,0.01
11/29/2024,82.53,92.64,81.54,92.5,340426770,-1000,-1000,-1000,-1000,-1000,,,,,,,,,268,202203,3.05,-2.15,-1.8,-1.56,3.17,0.01
10/31/2024,80.68,83.34,78.98,81.95,274959626,-1000,-1000,-1000,-1000,-1000,,,,,,,,,267,202202,-2.29,2.96,3.04,-2.08,3.13,0
9/30/2024,77.33,81.6,76.3,80.75,357719483,-1000,-1000,-1000,-1000,-1000,,,,,,,,,266,202201,-6.25,-4.05,12.75,0.87,7.71,0
8/30/2024,68.91,77.475,66.67,77.23,395298169,-1000,-1000,-1000,-1000,-1000,,,,,,,,,265,202112,3.1,-0.77,3.28,4.92,4.43,0.01
7/31/2024,67.89,71.33,67.25,68.64,288076714,-1000,-1000,-1000,-1000,-1000,,,,,,,,,264,202111,-1.55,-1.76,-0.44,7.22,1.74,0
6/28/2024,65.51,69.04,65.1603,67.71,288554527,-1000,-1000,-1000,-1000,-1000,,,,,,,,,263,202110,6.65,-2.7,-0.48,1.68,-1.44,0
5/31/2024,59.31,65.9,58.58,65.76,401576473,-1000,-1000,-1000,-1000,-1000,,,,,,,,,262,202109,-4.37,1.14,5.08,-1.9,2.14,0
4/30/2024,60.31,60.89,58.555,59.35,303697400,-1000,-1000,-1000,-1000,-1000,,,,,,,,,261,202108,2.91,-0.67,-0.16,-0.3,-1.76,0
3/28/2024,58.8,61.655,58.2,60.17,337575517,-1000,-1000,-1000,-1000,-1000,,,,,,,,,260,202107,1.27,-4.62,-1.76,5.49,-0.48,0
2/29/2024,165.7,181.35,58.18,58.61,237140989,-1000,-1000,-1000,-1000,-1000,,,,,,,,,259,202106,2.75,-0.34,-7.82,-2.18,-0.95,0
1/31/2024,157.25,167.8,155.6,165.25,127807712,-1000,-1000,-1000,-1000,-1000,,,,,,,,,258,202105,0.29,1.23,7.08,2.53,3.01,0
12/29/2023,155.38,158.33,149.54,157.65,180851074,-1000,-1000,-1000,-1000,-1000,,,,,,,,,257,202104,4.93,-3.15,-0.94,2.48,-2.69,0
